Benchmark,avgEntriesPerColumn,degreeDistribution,dimension,semiRingName,Mode,Cnt,Score,Error,Units
ejmlOps.semiring.MxMWithSemiringBenchmark.mxm,4,UNIFORM,100000,Plus;Times(inlined),avgt,10,43.281,1.104,ms/op
ejmlOps.semiring.MxMWithSemiringBenchmark.mxm,4,UNIFORM,100000,Plus;Times,avgt,10,38.811,1.389,ms/op
ejmlOps.semiring.MxMWithSemiringBenchmark.mxm,4,UNIFORM,100000,Or;Pair,avgt,10,38.989,1.458,ms/op
ejmlOps.semiring.MxMWithSemiringBenchmark.mxm,4,UNIFORM,100000,Or;And,avgt,10,39.313,1.466,ms/op
ejmlOps.semiring.MxMWithSemiringBenchmark.mxm,4,UNIFORM,100000,Min;Max,avgt,10,46.492,3.145,ms/op
ejmlOps.semiring.MxMWithSemiringBenchmark.mxm,4,UNIFORM,500000,Plus;Times(inlined),avgt,10,550.514,100.113,ms/op
ejmlOps.semiring.MxMWithSemiringBenchmark.mxm,4,UNIFORM,500000,Plus;Times,avgt,10,503.817,19.134,ms/op
ejmlOps.semiring.MxMWithSemiringBenchmark.mxm,4,UNIFORM,500000,Or;Pair,avgt,10,485.618,9.244,ms/op
ejmlOps.semiring.MxMWithSemiringBenchmark.mxm,4,UNIFORM,500000,Or;And,avgt,10,603.314,134.873,ms/op
ejmlOps.semiring.MxMWithSemiringBenchmark.mxm,4,UNIFORM,500000,Min;Max,avgt,10,546.380,53.468,ms/op
ejmlOps.semiring.MxMWithSemiringBenchmark.mxm,4,UNIFORM,1000000,Plus;Times(inlined),avgt,10,1463.892,59.509,ms/op
ejmlOps.semiring.MxMWithSemiringBenchmark.mxm,4,UNIFORM,1000000,Plus;Times,avgt,10,1407.532,37.032,ms/op
ejmlOps.semiring.MxMWithSemiringBenchmark.mxm,4,UNIFORM,1000000,Or;Pair,avgt,10,1368.604,20.105,ms/op
ejmlOps.semiring.MxMWithSemiringBenchmark.mxm,4,UNIFORM,1000000,Or;And,avgt,10,1407.309,28.641,ms/op
ejmlOps.semiring.MxMWithSemiringBenchmark.mxm,4,UNIFORM,1000000,Min;Max,avgt,10,1438.968,46.051,ms/op
ejmlOps.semiring.MxMWithSemiringNativeBenchmark.mxmNative,4,UNIFORM,100000,Plus;Times,avgt,10,7.283,1.059,ms/op
ejmlOps.semiring.MxMWithSemiringNativeBenchmark.mxmNative,4,UNIFORM,100000,Or;Pair,avgt,10,8.212,0.703,ms/op
ejmlOps.semiring.MxMWithSemiringNativeBenchmark.mxmNative,4,UNIFORM,100000,Or;And,avgt,10,8.617,0.489,ms/op
ejmlOps.semiring.MxMWithSemiringNativeBenchmark.mxmNative,4,UNIFORM,100000,Min;Max,avgt,10,7.467,0.975,ms/op
ejmlOps.semiring.MxMWithSemiringNativeBenchmark.mxmNative,4,UNIFORM,500000,Plus;Times,avgt,10,213.213,6.915,ms/op
ejmlOps.semiring.MxMWithSemiringNativeBenchmark.mxmNative,4,UNIFORM,500000,Or;Pair,avgt,10,233.733,6.958,ms/op
ejmlOps.semiring.MxMWithSemiringNativeBenchmark.mxmNative,4,UNIFORM,500000,Or;And,avgt,10,237.613,6.687,ms/op
ejmlOps.semiring.MxMWithSemiringNativeBenchmark.mxmNative,4,UNIFORM,500000,Min;Max,avgt,10,209.593,4.587,ms/op
